escuela,tipo,clas,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
CCH,bibliotecas,num,,,,,,,,,,,5,,,,5,6,5,
CCH,bibliotecas,cap,,,,,,,,,,,1250,,,,1550,1637,2010,
CCH,auditorios,num,,,,,,,,,,,,,,,,,,
CCH,auditorios,cap,,,,,,,,,,,,,,,,,,
CCH,laboratorios,num,,,,,,,,,,,58,120,58,58,129,130,134,
CCH,laboratorios,cap,,,,,,,,,,,500,,,,6720,4520,7298,
CCH,talleres de docencia,num,,,,,,,,,,,8,5,8,8,14,7,9,
CCH,talleres de docencia,cap,,,,,,,,,,,800,,,,180,129,300,
CCH,cubiculos,num,,,,,,,,,,,85,,,,,,,
CCH,cubiculos,cap,,,,,,,,,,,170,,,,,,,
CCH,cafeterias,num,,,,,,,,,,,,,,,,,,
CCH,cafeterias,cap,,,,,,,,,,,,,,,,,,
CCH,oficinas administrativas,num,,,,,,,,,,,,,,,,,,
CCH,oficinas administrativas,cap,,,,,,,,,,,,,,,,,,
HN,Salones de clase,num,,,,,,,,,,,,,,,,,,
HN,Salones de clase,cap,,,,,,,,,,,,,,,,,,
HN,bibliotecas,num,,,,,,,,,,,,,,,,,,
HN,bibliotecas,cap,,,,,,,,,,,,,,,,,,
HN,auditorios,num,,,,,,,,,,,,,,,,,,
HN,auditorios,cap,,,,,,,,,,,,,,,,,,
HN,laboratorios,num,,,,,,,,,,,,,,,,,,
HN,laboratorios,cap,,,,,,,,,,,,,,,,,,
HN,talleres de docencia,num,,,,,,,,,,,,,,,,,,
HN,talleres de docencia,cap,,,,,,,,,,,,,,,,,,
HN,cubiculos,num,,,,,,,,,,,,,,,,,,
HN,cubiculos,cap,,,,,,,,,,,,,,,,,,
HN,cafeterias,num,,,,,,,,,,,,,,,,,,
HN,cafeterias,cap,,,,,,,,,,,,,,,,,,
HN,oficinas administrativas,num,,,,,,14,,6,,,,,,,,,,
HN,oficinas administrativas,cap,,,,,,115,,29,,,,,,,,,,
BN,Salones de clase,num,,,,,,,,,,,,,,,,,,
BN,Salones de clase,cap,,,,,,,,,,,,,,,,,,
BN,bibliotecas,num,,,,,,,,,,,2,,,,,,,
BN,bibliotecas,cap,,,,,,,,,,,468,,,,,,,
BN,auditorios,num,,,,,,,,,,,,,,,,,,
BN,auditorios,cap,,,,,,,,,,,,,,,,,,
BN,laboratorios,num,,,,,,,,,,,1,,,,,,,
BN,laboratorios,cap,,,,,,,,,,,4,,,,,,,
BN,talleres de docencia,num,,,,,,,,4,,,2,,,,,,,
BN,talleres de docencia,cap,,,,,,,,7,,,8,,,,,,,
BN,cubiculos,num,,,,,,6,,6,,,6,,,,,,,
BN,cubiculos,cap,,,,,,6,,6,,,6,,,,,,,
BN,cafeterias,num,,,,,,,,,,,,,,,,,,
BN,cafeterias,cap,,,,,,,,,,,,,,,,,,
BN,oficinas administrativas,num,,,,,,,,12,,,,,,,,,,
BN,oficinas administrativas,cap,,,,,,,,113,,,,,,,,,,
IIEc,Salones de clase,num,,,,,,,,,,,,,,,,,,
IIEc,Salones de clase,cap,,,,,,,,,,,,,,,,,,
IIEc,bibliotecas,num,,,,,,1,,,,,1,,,,,,,
IIEc,bibliotecas,cap,,,,,,15,,,,,10,,,,,,,
IIEc,auditorios,num,,,,,,,,,,,,,,,,,,
IIEc,auditorios,cap,,,,,,,,,,,,,,,,,,
IIEc,laboratorios,num,,,,,,1,,,,,,,,,,,,
IIEc,laboratorios,cap,,,,,,3,,,,,,,,,,,,
IIEc,talleres de docencia,num,,,,,,,,,,,,,,,,,,
IIEc,talleres de docencia,cap,,,,,,,,,,,,,,,,,,
IIEc,cubiculos,num,,,,,,8,,8,,,26,,,,,,,
IIEc,cubiculos,cap,,,,,,8,,8,,,60,,,,,,,
IIEc,cafeterias,num,,,,,,,,,,,,,,,,,,
IIEc,cafeterias,cap,,,,,,,,,,,,,,,,,,
IIEc,oficinas administrativas,num,,,,,,2,,6,,,,,,,,,,
IIEc,oficinas administrativas,cap,,,,,,5,,22,,,,,,,,,,
IIE,Salones de clase,num,,,,,,,,,,,,,,,,,,
IIE,Salones de clase,cap,,,,,,,,,,,,,,,,,,
IIE,bibliotecas,num,,,,,,1,,,,,1,,,,,,,
IIE,bibliotecas,cap,,,,,,10,,,,,20,,,,,,,
IIE,auditorios,num,,,,,,,,,,,,,,,,,,
IIE,auditorios,cap,,,,,,,,,,,,,,,,,,
IIE,laboratorios,num,,,,,,2,,1,,,1,,,,,,,
IIE,laboratorios,cap,,,,,,4,,2,,,2,,,,,,,
IIE,talleres de docencia,num,,,,,,,,,,,,,,,,,,
IIE,talleres de docencia,cap,,,,,,,,,,,,,,,,,,
IIE,cubiculos,num,,,,,,11,,11,,,10,,,,,,,
