"","colus","infdim1","infdim2","infdim3","infdim4","infdist","infdim"
"39","inv_ay",-1.10843009276662e-05,-5.43210821607465e-05,-0.000110458663984181,-0.00010459510695468,-7.91519216156722e-05,0.0280459154027274
"40","inv_ay_f",-4.44846417979594e-07,-7.15195665246249e-06,-1.04109213343861e-05,-1.41610994100483e-05,-1.98621416869216e-05,0.00321688238148765
"41","inv_eme",-1.8987974390039e-06,-1.30588305776724e-05,-1.29732178658082e-05,-1.69468737959422e-05,5.59295843816088e-06,0.00448777196784267
"42","inv_eme_f",0,0,0,0,0,0
"43","inv_mt",-1.80464882781894e-06,-1.00431732487638e-05,-1.75896482015603e-05,-1.53836224357773e-05,-2.02875521972956e-05,0.00448210927139203
"44","inv_mt_f",-3.20566708694736e-06,-8.09075184887709e-06,-1.54579550132317e-05,-1.16612217397616e-05,8.81806794850171e-05,0.00384155956888177
"45","inv_tc",-1.10722262710028e-05,-4.75814738742919e-05,-0.000850624050972609,-0.000556235586859327,0.00036100596611055,0.146551333797723
"46","inv_tc_f",-5.29437710283798e-07,-1.95221518756172e-06,-3.35887901145582e-06,-5.24213587868583e-06,1.17322054888902e-05,0.00110826677879872
"47","inv_tec",-1.26240911363373e-06,-1.39814704113173e-05,-1.12923495892148e-05,-1.59043510657986e-05,-0.0004158917643311,0.00424405801799643
"48","inv_tec_f",5.73147496685245e-08,-2.74415741979839e-06,-2.86217713621473e-06,-1.11996165136352e-05,3.97364348092566e-06,0.00167486363199798
"49","inv_total",3.43093328192268e-08,-5.63420555791394e-05,-0.000869725631065826,-0.000563668919717597,-0.000552832031497807,0.148970229702974
"50","inv_total_f",-2.81815909886074e-07,-1.46952569934911e-06,-2.66470094753557e-06,-3.9879894900563e-06,1.68092988861446e-06,0.000840403204682705
"51","n",0.121398734704607,0.0851964690540452,0.0668967965334119,0.0404011455899463,-0.0596113110029419,31.389314588201
"52","num_Salones_de_clase",6.52490826302254e-05,4.83085219772361e-05,0.000255460831240673,0.000144723141106168,-0.000141669999992988,0.0513741576954302
"53","num_auditorios",1.11992103695724e-05,-2.3513384390661e-06,-9.32068512921047e-06,-2.83512167675859e-06,-1.98374360076414e-05,0.000330793487546277
"54","num_bibliotecas",1.50145068463781e-05,-2.61562763537171e-06,-3.1142838136905e-05,-4.86820636085294e-05,0.000194528883782574,0.00674260225344281
"55","num_cafeterias",9.78961351427721e-06,7.17654379966959e-06,1.61057705511114e-06,-5.83540868959176e-07,-0.000128560208852324,0.00179931935000988
"56","num_cubiculos",0.000131390885479088,0.000137963348329773,-0.000113695032716549,-2.78321782181679e-05,0.00100286188445908,0.0127827022874144
"57","num_laboratorios",-0.00061128859838977,-6.4190706909717e-05,-0.000107629212735605,-0.000442828670706802,0.000211496587641857,0.122593718874189
"58","num_oficinas_administrativas",0.000166817500080851,0.000171523865497847,9.3400822944012e-05,-1.62760808039009e-05,-0.000509695063803051,0.0415466107718809
"59","num_talleres_de_docencia",-0.000460627563944382,-0.00144015736086872,-0.0019185461895028,-0.00157447145406453,-0.00870545824676761,0.539380256838043
"60","perm",7.33860781015894e-06,8.33538470224049e-06,7.19090737741346e-06,-4.12889183651344e-06,0.000177121965353244,0.00187360080532994
"61","pern",7.2488395548298e-06,1.09221858302644e-05,6.30312046673298e-06,-9.56419709946532e-06,1.26883924664867e-05,0.00149099487523618
"62","pert",7.38567562263981e-06,6.93265803791698e-06,7.40842180502188e-06,-4.90351520671117e-06,0.000184274619965841,0.00168232402588675
