year,dep,eme_h,eme_m,tc_tit_t_h,tc_tit_t_m,tc_tit_a_h,tc_tit_a_m,tc_tit_b_h,tc_tit_b_m,tc_tit_c_h,tc_tit_c_m,mt_tit_a_h,mt_tit_a_m,mt_tit_b_h,mt_tit_b_m,mt_tit_c_h,mt_tit_c_m,tc_ass_a_h,tc_ass_a_m,tc_ass_b_h,tc_ass_b_m,tc_ass_c_h,tc_ass_c_m,mt_ass_a_h,mt_ass_a_m,mt_ass_b_h,mt_ass_b_m,mt_ass_c_h,mt_ass_c_m,cat_a_h,cat_a_m,cat_b_h,cat_b_m,cat_c_h,cat_c_m,ayu_a_h,ayu_a_m,ayu_b_h,ayu_b_m,ayu_c_h,ayu_c_m,ordcarr_h,ordcarr_m,teoprac_h,teoprac_m,instruc_h,instruc_m,conferenc_s,aycat_h,aycat_m,pasoc_h,pasoc_m,preplab_h,preplab_m,coord_h,coord_m,aylab_h,aylab_m,otros_h,otros_m,total_h,total_m
1966,ENMZ,,,,,4,5,,1,,,2,,,,,,,,,,,,,,,,,,43,7,26,3,35,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,ENM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,20,17,12,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,ENO,,,,,4,1,,,,,2,,,,,,,,,,,,,,,,,,91,5,55,4,66,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,FQ,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,,98,8,32,4,88,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,ENP,2,,,,20,18,,,,,,,,,,,,,,,,,,,,,,,897,332,624,296,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,ENA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,4,250,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,ENAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,5,22,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,FC,,,,,7,2,4,,,,,,,,,,,,,,,,,,,,,,88,13,62,17,102,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,ENCPyS,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,38,3,32,2,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,ENCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,9,133,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,FD,1,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,123,8,103,17,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,ENE,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,72,6,23,4,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,ENEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,18,15,21,21,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,FFyL,4,,,,7,1,9,7,,,,,,,,,,,,,,,,,,,,,109,38,57,31,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,FI,2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,204,4,141,1,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,FM,4,,,,17,1,6,2,5,2,,,,,,,,,,,,,,,,,,,340,10,470,30,658,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,ENMZ,,,,,6,1,,3,,,,,,,,,,,,,,,,,,,,,38,4,18,2,42,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,ENM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,20,32,15,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,ENO,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,4,3,44,2,65,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,FQ,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,83,15,39,5,86,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,ENP,2,,,,14,8,3,7,,,,,,,,,,,,,,,,,,,,,978,422,531,268,1,,,,,,,,,,,,13,17,,,,,,,,,,,,,,,
1968,ENA,3,,,,,,,,,,6,,18,,,,,,,,,,,,,,,,150,9,266,24,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,ENAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3,28,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,FC,,,,,8,1,3,2,,,2,,3,,,,,,,,,,,,,,,,88,16,64,18,124,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,FCPyS,,,,,7,,2,,,,2,,,,,,,,,,,,,,,,,,27,3,44,6,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,FCA,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,159,7,147,13,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,FD,1,,,,5,1,1,,,,25,1,1,2,,,,,,,,,,,,,,,117,8,100,21,26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,ENE,3,,,,1,,1,,,,16,1,2,,,,,,,,,,,,,,,,54,3,32,6,41,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,ENEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,15,27,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,FFyL,6,,,,11,5,4,8,,,5,1,7,3,,,,,,,,,,,,,,,98,47,37,32,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,FI,1,,,,13,,2,,,,56,,9,,,,,,,,,,,,,,,,183,4,211,5,126,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,FM,4,,,,32,2,6,3,4,,15,1,14,,,,,,,,,,,,,,,,322,8,583,32,756,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,ENMZ,,,,,4,2,3,4,,,1,1,,,,,,,,,,,,,,,,,35,5,19,7,44,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,ENM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,12,32,13,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,ENO,,,,,3,,,1,,,1,,,,,,,,,,,,,,,,,,81,3,52,4,83,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,FQ,1,,,,6,,1,1,,,3,3,,,,,,,,,,,,,,,,,60,5,66,8,91,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,ENP,,,,,15,9,3,7,,,11,4,1,2,,,,,,,,,,,,,,,662,340,428,277,3,1,,,,,,,,,,,50,38,,,,,,,,,,,,,,,
1968,IIBio,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,SAntropologia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
