dep,year,emerito,tc,mt,a,b,ayu,contrato,catedra,tecnico,totdocen
Facultad de Economia,1941,,,,,,,,,,43
Facultad de Economia,1942,,,,,,,,,,53
Facultad de Economia,1943,,,,,,,,,,55
Facultad de Economia,1944,,,,,,,,,,68
Facultad de Economia,1945,,,,,,,,,,77
Facultad de Economia,1946,,,,,,,,,,80
Facultad de Economia,1947,,,,,,,,,,80
Facultad de Economia,1948,,,,,,,,,,89
Facultad de Economia,1949,,,,,,,,,,91
Facultad de Economia,1950,,,,,,,,,,82
Facultad de Economia,1951,,,,,,,,,,84
Facultad de Economia,1952,,,,,,,,,,91
Facultad de Economia,1953,,,,,,,,,,111
Facultad de Economia,1954,,,,,,,,,,122
Facultad de Economia,1955,,,,,,,,,,118
Facultad de Economia,1956,,,,,,,,,,129
Facultad de Economia,1957,,,,,,,,,,138
Facultad de Economia,1958,,,,,,,,,,188
Facultad de Economia,1959,,5,2,,,24,1,97,,129
Facultad de Economia,1960,,2,3,,,61,,196,,262
Facultad de Economia,1961,,,,,,,,,,245
Facultad de Economia,1962,,,,,,,,,,221
Facultad de Economia,1963,2,2,1,,,,,204,,209
Facultad de Economia,1964,2,1,4,,,,,175,,182
Facultad de Economia,1965,1,2,6,,,,,127,,136
Facultad de Economia,1966,2,2,8,,,,,148,,160
Facultad de Economia,1967,2,1,13,,,,,136,,152
Facultad de Economia,1968,3,2,19,,,,,144,,168
Facultad de Economia,1969,3,7,18,,,,8,101,,137
Facultad de Economia,1970,3,8,23,,,,1,121,,156
Facultad de Economia,1971,3,8,17,37,68,54,12,,,199
Facultad de Economia,1972,1,8,,108,31,67,4,,,219
Facultad de Economia,1973,3,9,29,90,32,108,3,,,274
Facultad de Economia,1974,3,21,28,105,30,112,4,,,303
Facultad de Economia,1975,4,29,23,111,29,88,2,,,286
Facultad de Economia,1976,,33,24,128,26,110,1,,,322
Facultad de Economia,1977,2,46,28,174,21,102,1,,8,382
Facultad de Economia,1978,3,49,24,145,21,114,1,,11,368
Facultad de Economia,1979,2,55,30,163,,91,,,20,361
Facultad de Economia,1980,,,,,,,,,,
Facultad de Economia,1981,,,,,,,,,,
Facultad de Economia,1982,,,,,,,,,,
Facultad de Economia,1983,,,,,,,,,,
Facultad de Economia,1984,,,,,,,,,,
Facultad de Economia,1985,,,,,,,,,,
Facultad de Economia,1986,,,,,,,,,,
Facultad de Economia,1987,,,,,,,,,,
Facultad de Economia,1988,,,,,,,,,,
Facultad de Economia,1989,,,,,,,,,,
Facultad de Economia,1990,,,,,,,,,,
Facultad de Economia,1991,,,,,,,,,,
Facultad de Economia,1992,,,,,,,,,,
Facultad de Economia,1993,,,,,,,,,,
Facultad de Economia,1994,,,,,,,,,,
Facultad de Economia,1995,,,,,,,,,,
Facultad de Economia,1996,,,,,,,,,,
Facultad de Economia,1997,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1931,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1932,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1933,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1934,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1935,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1936,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1937,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1938,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1939,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1940,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1941,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1942,,,,,,,,,,54
Escuela Nacional de Enfermeria y Obstetricia,1943,,,,,,,,,,62
Escuela Nacional de Enfermeria y Obstetricia,1944,,,,,,,,,,68
Escuela Nacional de Enfermeria y Obstetricia,1945,,,,,,,,,,53
Escuela Nacional de Enfermeria y Obstetricia,1946,,,,,,,,,,51
Escuela Nacional de Enfermeria y Obstetricia,1947,,,,,,,,,,52
Escuela Nacional de Enfermeria y Obstetricia,1948,,,,,,,,,,57
Escuela Nacional de Enfermeria y Obstetricia,1949,,,,,,,,,,52
Escuela Nacional de Enfermeria y Obstetricia,1950,,,,,,,,,,57
Escuela Nacional de Enfermeria y Obstetricia,1951,,,,,,,,,,57
Escuela Nacional de Enfermeria y Obstetricia,1952,,,,,,,,,,56
Escuela Nacional de Enfermeria y Obstetricia,1953,,,,,,,,,,57
Escuela Nacional de Enfermeria y Obstetricia,1954,,,,,,,,,,52
Escuela Nacional de Enfermeria y Obstetricia,1955,,,,,,,,,,45
Escuela Nacional de Enfermeria y Obstetricia,1956,,,,,,,,,,59
Escuela Nacional de Enfermeria y Obstetricia,1957,,,,,,,,,,73
Escuela Nacional de Enfermeria y Obstetricia,1958,,,,,,,,,,75
Escuela Nacional de Enfermeria y Obstetricia,1959,,,,,,11,,48,,59
Escuela Nacional de Enfermeria y Obstetricia,1960,,,1,,,16,,57,,74
Escuela Nacional de Enfermeria y Obstetricia,1961,,,,,,,,,,66
Escuela Nacional de Enfermeria y Obstetricia,1962,,,,,,,,,,81
Escuela Nacional de Enfermeria y Obstetricia,1963,,,,,,,,,,58
Escuela Nacional de Enfermeria y Obstetricia,1964,,,,,,,,,,97
Escuela Nacional de Enfermeria y Obstetricia,1965,,,,,,,102,,,102
Escuela Nacional de Enfermeria y Obstetricia,1966,,,,,,,109,,,109
Escuela Nacional de Enfermeria y Obstetricia,1967,,,,,,,118,,,118
Escuela Nacional de Enfermeria y Obstetricia,1968,,,,,,,110,,,110
Escuela Nacional de Enfermeria y Obstetricia,1969,,,,,,,95,,,95
Escuela Nacional de Enfermeria y Obstetricia,1970,,,,,,,127,,,127
Escuela Nacional de Enfermeria y Obstetricia,1971,,,,,,,120,,,120
Escuela Nacional de Enfermeria y Obstetricia,1972,,,,59,36,10,,,,105
Escuela Nacional de Enfermeria y Obstetricia,1973,,,,68,32,6,,,,106
Escuela Nacional de Enfermeria y Obstetricia,1974,,,,76,36,5,,,,117
Escuela Nacional de Enfermeria y Obstetricia,1975,,1,1,89,37,5,,,,133
Escuela Nacional de Enfermeria y Obstetricia,1976,,1,,109,34,8,,,,152
Escuela Nacional de Enfermeria y Obstetricia,1977,,1,,101,35,5,,,,142
Escuela Nacional de Enfermeria y Obstetricia,1978,,1,,107,35,8,,,,151
Escuela Nacional de Enfermeria y Obstetricia,1979,,1,1,111,34,7,,,,154
Escuela Nacional de Enfermeria y Obstetricia,1980,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1981,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1982,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1983,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1984,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1985,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1986,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1987,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1988,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1989,,,,,,,,,,
